name	population	region	year
ATL_1988	ATL	W	2018
ATL_2002	ATL	W	2018
ATL_2004	ATL	W	2018
ATL_2126	ATL	W	2018
ATL_2128	ATL	W	2018
ATL_2131	ATL	W	2018
ATL_2132	ATL	W	2018
ATL_2137	ATL	W	2018
ATL_2141	ATL	W	2018
ATL_2142	ATL	W	2018
ATL_2143	ATL	W	2018
ATL_2144	ATL	W	2018
ATL_2149	ATL	W	2018
ATL_2151	ATL	W	2018
ATL_2152	ATL	W	2018
ATL_2153	ATL	W	2018
ATL_2154	ATL	W	2018
ATL_2155	ATL	W	2018
ATL_2362	ATL	W	2019
ATL_2364	ATL	W	2019
ATL_2375	ATL	W	2019
ATL_2380	ATL	W	2019
ATL_2384	ATL	W	2019
ATL_2385	ATL	W	2019
ATL_2386	ATL	W	2019
ATL_2390	ATL	W	2019
ATL_2396	ATL	W	2019
ATL_2399	ATL	W	2019
ATL_2402	ATL	W	2019
ATL_2403	ATL	W	2019
ATL_2404	ATL	W	2019
ATL_2406	ATL	W	2019
ATL_2408	ATL	W	2019
ATL_2409	ATL	W	2019
ATL_2410	ATL	W	2019
ATL_2411	ATL	W	2019
ATL_2413	ATL	W	2019
ATL_2414	ATL	W	2019
ATL_2417	ATL	W	2019
ATL_2418	ATL	W	2019
ATL_2419	ATL	W	2019
ATL_2422	ATL	W	2019
ATL_2423	ATL	W	2019
ATL_2424	ATL	W	2019
ATL_2425	ATL	W	2019
ATL_2426	ATL	W	2019
ATL_2427	ATL	W	2019
ATL_2428	ATL	W	2019
ATL_2429	ATL	W	2019
ATL_2430	ATL	W	2019
ATL_2433	ATL	W	2019
ATL_2434	ATL	W	2019
ATL_2435	ATL	W	2019
ATL_2436	ATL	W	2019
ATL_2439	ATL	W	2019
ATL_2440	ATL	W	2019
ATL_2441	ATL	W	2019
ATL_2442	ATL	W	2019
ATL_2443	ATL	W	2019
ATL_2444	ATL	W	2019
ATL_2445	ATL	W	2019
ATL_2446	ATL	W	2019
ATL_2448	ATL	W	2019
ATL_2449	ATL	W	2019
ATL_2450	ATL	W	2019
ATL_2454	ATL	W	2019
ATL_2455	ATL	W	2019
ATL_2456	ATL	W	2019
ATL_2458	ATL	W	2019
ATL_2459	ATL	W	2019
ATL_2460	ATL	W	2019
ATL_2461	ATL	W	2019
ATL_2462	ATL	W	2019
ATL_2466	ATL	W	2019
ATL_2468	ATL	W	2019
ATL_2473	ATL	W	2019
ATL_2475	ATL	W	2019
GOM_2015	GOM	W	2017
GOM_2025	GOM	W	2017
GOM_2029	GOM	W	2017
GOM_2033	GOM	W	2017
GOM_2040	GOM	W	2017
GOM_2045	GOM	W	2017
GOM_2049	GOM	W	2017
GOM_2165	GOM	W	2018
GOM_2166	GOM	W	2018
GOM_2173	GOM	W	2018
GOM_2183	GOM	W	2018
GOM_2187	GOM	W	2018
GOM_2194	GOM	W	2018
GOM_2195	GOM	W	2018
GOM_2198	GOM	W	2018
GOM_2199	GOM	W	2018
GOM_2201	GOM	W	2018
GOM_2202	GOM	W	2018
GOM_2204	GOM	W	2018
GOM_2266	GOM	W	2019
GOM_2276	GOM	W	2019
GOM_2283	GOM	W	2019
GOM_2501	GOM	W	2019
GOM_2507	GOM	W	2019
GOM_2508	GOM	W	2019
GOM_2509	GOM	W	2019
GOM_2511	GOM	W	2019
GOM_2512	GOM	W	2019
GOM_2513	GOM	W	2019
GOM_2514	GOM	W	2019
GOM_2515	GOM	W	2019
GOM_2516	GOM	W	2019
GOM_2517	GOM	W	2019
GOM_2518	GOM	W	2019
GOM_2519	GOM	W	2019
GOM_2522	GOM	W	2019
GOM_2523	GOM	W	2019
GOM_2524	GOM	W	2019
GOM_2525	GOM	W	2019
GOM_2526	GOM	W	2019
GOM_2527	GOM	W	2019
GOM_2529	GOM	W	2019
GOM_2530	GOM	W	2019
GOM_2531	GOM	W	2019
GOM_2532	GOM	W	2019
GOM_2534	GOM	W	2019
GOM_2535	GOM	W	2019
GOM_2536	GOM	W	2019
GOM_2537	GOM	W	2019
GOM_2538	GOM	W	2019
GOM_2539	GOM	W	2019
GOM_2540	GOM	W	2019
GOM_2541	GOM	W	2019
GOM_2542	GOM	W	2019
GOM_2543	GOM	W	2019
GOM_2546	GOM	W	2019
GOM_2547	GOM	W	2019
GOM_2548	GOM	W	2019
GOM_2549	GOM	W	2019
GOM_2550	GOM	W	2019
GOM_2551	GOM	W	2019
GOM_2552	GOM	W	2019
GOM_2553	GOM	W	2019
GOM_2554	GOM	W	2019
GOM_2556	GOM	W	2019
GOM_2561	GOM	W	2019
LA_1791	GOM	W	2017
LA_2325	GOM	W	2018
LA_2326	GOM	W	2018
LA_2327	GOM	W	2018
LA_2328	GOM	W	2018
LA_2330	GOM	W	2018
LA_2334	GOM	W	2018
LA_2336	GOM	W	2018
LA_2337	GOM	W	2018
LA_2338	GOM	W	2018
LA_2340	GOM	W	2018
LA_2342	GOM	W	2018
LA_2343	GOM	W	2018
LA_2347	GOM	W	2018
LA_2351	GOM	W	2018
LA_2356	GOM	W	2018
LA_2357	GOM	W	2018
MSAL_1857	GOM	W	2016
MSAL_1866	GOM	W	2016
MSAL_1867	GOM	W	2016
MSAL_1870	GOM	W	2016
MSAL_1871	GOM	W	2016
MSAL_1873	GOM	W	2016
MSAL_1876	GOM	W	2016
IVC_2631	IVC	E	2020
IVC_2632	IVC	E	2020
IVC_2633	IVC	E	2020
IVC_2634	IVC	E	2020
IVC_2635	IVC	E	2020
IVC_2636	IVC	E	2020
IVC_2637	IVC	E	2020
IVC_2638	IVC	E	2020
IVC_2639	IVC	E	2020
IVC_2640	IVC	E	2020
IVC_2641	IVC	E	2020
IVC_2644	IVC	E	2020
IVC_2645	IVC	E	2020
IVC_2646	IVC	E	2020
IVC_2647	IVC	E	2020
IVC_2648	IVC	E	2020
IVC_2649	IVC	E	2020
IVC_2650	IVC	E	2020
IVC_2651	IVC	E	2020
IVC_2652	IVC	E	2020
IVC_2653	IVC	E	2020
IVC_2656	IVC	E	2020
IVC_2657	IVC	E	2020
IVC_2658	IVC	E	2020
IVC_2659	IVC	E	2020
IVC_2661	IVC	E	2020
IVC_2662	IVC	E	2020
IVC_2663	IVC	E	2020
IVC_2664	IVC	E	2020
IVC_2665	IVC	E	2020
IVC_2666	IVC	E	2020
IVC_2672	IVC	E	2020
IVC_2673	IVC	E	2020
