name	population	year
ATL_1988	ATL	2018
ATL_2002	ATL	2018
ATL_2004	ATL	2018
ATL_2126	ATL	2018
ATL_2128	ATL	2018
ATL_2131	ATL	2018
ATL_2132	ATL	2018
ATL_2137	ATL	2018
ATL_2141	ATL	2018
ATL_2142	ATL	2018
ATL_2143	ATL	2018
ATL_2144	ATL	2018
ATL_2149	ATL	2018
ATL_2151	ATL	2018
ATL_2152	ATL	2018
ATL_2153	ATL	2018
ATL_2154	ATL	2018
ATL_2155	ATL	2018
ATL_2362	ATL	2019
ATL_2364	ATL	2019
ATL_2375	ATL	2019
ATL_2380	ATL	2019
ATL_2384	ATL	2019
ATL_2385	ATL	2019
ATL_2386	ATL	2019
ATL_2390	ATL	2019
ATL_2396	ATL	2019
ATL_2399	ATL	2019
ATL_2402	ATL	2019
ATL_2403	ATL	2019
ATL_2404	ATL	2019
ATL_2406	ATL	2019
ATL_2408	ATL	2019
ATL_2409	ATL	2019
ATL_2410	ATL	2019
ATL_2411	ATL	2019
ATL_2413	ATL	2019
ATL_2414	ATL	2019
ATL_2417	ATL	2019
ATL_2418	ATL	2019
ATL_2419	ATL	2019
ATL_2422	ATL	2019
ATL_2423	ATL	2019
ATL_2424	ATL	2019
ATL_2425	ATL	2019
ATL_2426	ATL	2019
ATL_2427	ATL	2019
ATL_2428	ATL	2019
ATL_2429	ATL	2019
ATL_2430	ATL	2019
ATL_2433	ATL	2019
ATL_2434	ATL	2019
ATL_2435	ATL	2019
ATL_2436	ATL	2019
ATL_2439	ATL	2019
ATL_2440	ATL	2019
ATL_2441	ATL	2019
ATL_2442	ATL	2019
ATL_2443	ATL	2019
ATL_2444	ATL	2019
ATL_2445	ATL	2019
ATL_2446	ATL	2019
ATL_2448	ATL	2019
ATL_2449	ATL	2019
ATL_2450	ATL	2019
ATL_2454	ATL	2019
ATL_2455	ATL	2019
ATL_2456	ATL	2019
ATL_2458	ATL	2019
ATL_2459	ATL	2019
ATL_2460	ATL	2019
ATL_2461	ATL	2019
ATL_2462	ATL	2019
ATL_2466	ATL	2019
ATL_2468	ATL	2019
ATL_2473	ATL	2019
ATL_2475	ATL	2019
GOM_2015	GOM	2017
GOM_2025	GOM	2017
GOM_2029	GOM	2017
GOM_2033	GOM	2017
GOM_2040	GOM	2017
GOM_2045	GOM	2017
GOM_2049	GOM	2017
GOM_2165	GOM	2018
GOM_2166	GOM	2018
GOM_2173	GOM	2018
GOM_2183	GOM	2018
GOM_2187	GOM	2018
GOM_2194	GOM	2018
GOM_2195	GOM	2018
GOM_2198	GOM	2018
GOM_2199	GOM	2018
GOM_2201	GOM	2018
GOM_2202	GOM	2018
GOM_2204	GOM	2018
GOM_2266	GOM	2019
GOM_2276	GOM	2019
GOM_2283	GOM	2019
GOM_2501	GOM	2019
GOM_2507	GOM	2019
GOM_2508	GOM	2019
GOM_2509	GOM	2019
GOM_2511	GOM	2019
GOM_2512	GOM	2019
GOM_2513	GOM	2019
GOM_2514	GOM	2019
GOM_2515	GOM	2019
GOM_2516	GOM	2019
GOM_2517	GOM	2019
GOM_2518	GOM	2019
GOM_2519	GOM	2019
GOM_2522	GOM	2019
GOM_2523	GOM	2019
GOM_2524	GOM	2019
GOM_2525	GOM	2019
GOM_2526	GOM	2019
GOM_2527	GOM	2019
GOM_2529	GOM	2019
GOM_2530	GOM	2019
GOM_2531	GOM	2019
GOM_2532	GOM	2019
GOM_2534	GOM	2019
GOM_2535	GOM	2019
GOM_2536	GOM	2019
GOM_2537	GOM	2019
GOM_2538	GOM	2019
GOM_2539	GOM	2019
GOM_2540	GOM	2019
GOM_2541	GOM	2019
GOM_2542	GOM	2019
GOM_2543	GOM	2019
GOM_2546	GOM	2019
GOM_2547	GOM	2019
GOM_2548	GOM	2019
GOM_2549	GOM	2019
GOM_2550	GOM	2019
GOM_2551	GOM	2019
GOM_2552	GOM	2019
GOM_2553	GOM	2019
GOM_2554	GOM	2019
GOM_2556	GOM	2019
GOM_2561	GOM	2019
LA_1791	GOM	2017
LA_2325	GOM	2018
LA_2326	GOM	2018
LA_2327	GOM	2018
LA_2328	GOM	2018
LA_2330	GOM	2018
LA_2334	GOM	2018
LA_2336	GOM	2018
LA_2337	GOM	2018
LA_2338	GOM	2018
LA_2340	GOM	2018
LA_2342	GOM	2018
LA_2343	GOM	2018
LA_2347	GOM	2018
LA_2351	GOM	2018
LA_2356	GOM	2018
LA_2357	GOM	2018
MSAL_1857	GOM	2016
MSAL_1866	GOM	2016
MSAL_1867	GOM	2016
MSAL_1870	GOM	2016
MSAL_1871	GOM	2016
MSAL_1873	GOM	2016
MSAL_1876	GOM	2016
IVC_2631	IVC	2020
IVC_2632	IVC	2020
IVC_2633	IVC	2020
IVC_2634	IVC	2020
IVC_2635	IVC	2020
IVC_2636	IVC	2020
IVC_2637	IVC	2020
IVC_2638	IVC	2020
IVC_2639	IVC	2020
IVC_2640	IVC	2020
IVC_2641	IVC	2020
IVC_2644	IVC	2020
IVC_2645	IVC	2020
IVC_2646	IVC	2020
IVC_2647	IVC	2020
IVC_2648	IVC	2020
IVC_2649	IVC	2020
IVC_2650	IVC	2020
IVC_2651	IVC	2020
IVC_2652	IVC	2020
IVC_2653	IVC	2020
IVC_2656	IVC	2020
IVC_2657	IVC	2020
IVC_2658	IVC	2020
IVC_2659	IVC	2020
IVC_2661	IVC	2020
IVC_2662	IVC	2020
IVC_2663	IVC	2020
IVC_2664	IVC	2020
IVC_2665	IVC	2020
IVC_2666	IVC	2020
IVC_2672	IVC	2020
IVC_2673	IVC	2020
IVC_2675	IVC	2020
IVC_2676	IVC	2020
IVC_2677	IVC	2020
IVC_2678	IVC	2020
IVC_2679	IVC	2020
IVC_2680	IVC	2020
IVC_2682	IVC	2020
IVC_2683	IVC	2020
IVC_2684	IVC	2020
IVC_2685	IVC	2020
IVC_2687	IVC	2020
IVC_2688	IVC	2020
IVC_2689	IVC	2020
IVC_2690	IVC	2020
IVC_2691	IVC	2020
IVC_2694	IVC	2020
IVC_2695	IVC	2020
IVC_2696	IVC	2020
IVC_2698	IVC	2020
IVC_2699	IVC	2020
IVC_2700	IVC	2020
IVC_2701	IVC	2020
IVC_2702	IVC	2020
IVC_2703	IVC	2020
IVC_2704	IVC	2020
IVC_2705	IVC	2020
IVC_2706	IVC	2020
IVC_2707	IVC	2020
IVC_2709	IVC	2020
IVC_2710	IVC	2020
IVC_2711	IVC	2020
IVC_2712	IVC	2020
IVC_2713	IVC	2020
IVC_2714	IVC	2020
IVC_2715	IVC	2020
IVC_2718	IVC	2020
IVC_2719	IVC	2020
IVC_2721	IVC	2020
IVC_2722	IVC	2020
IVC_2723	IVC	2020
SEN_1927	SEN	2017
SEN_1928	SEN	2017
SEN_1929	SEN	2017
SEN_1931	SEN	2017
SEN_1933	SEN	2017
SEN_1934	SEN	2017
SEN_1937	SEN	2017
SEN_1938	SEN	2017
SEN_1939	SEN	2017
SEN_1941	SEN	2017
SEN_1943	SEN	2017
SEN_1944	SEN	2017
SEN_1945	SEN	2017
SEN_1946	SEN	2017
SEN_1948	SEN	2017
SEN_1950	SEN	2017
SEN_1951	SEN	2017
SEN_1953	SEN	2017
SEN_1954	SEN	2017
SEN_1955	SEN	2017
SEN_1958	SEN	2017
SEN_1961	SEN	2017
SEN_1962	SEN	2017
SEN_1963	SEN	2017
SEN_1964	SEN	2017
SEN_1965	SEN	2017
SEN_1966	SEN	2017
SEN_1967	SEN	2017
SEN_1968	SEN	2017
SEN_1969	SEN	2017
SEN_1970	SEN	2017
SEN_1971	SEN	2017
SEN_1977	SEN	2017
SEN_1979	SEN	2017
SEN_1981	SEN	2017
SEN_1984	SEN	2017
SEN_1985	SEN	2017
SEN_1986	SEN	2017
SEN_2206	SEN	2018
SEN_2208	SEN	2018
SEN_2209	SEN	2018
SEN_2210	SEN	2018
SEN_2211	SEN	2018
SEN_2212	SEN	2018
SEN_2213	SEN	2018
SEN_2216	SEN	2018
SEN_2217	SEN	2018
SEN_2223	SEN	2018
SEN_2225	SEN	2018
SEN_2226	SEN	2018
SEN_2229	SEN	2018
SEN_2231	SEN	2018
SEN_2233	SEN	2018
SEN_2234	SEN	2018
SEN_2235	SEN	2018
SEN_2236	SEN	2018
SEN_2237	SEN	2018
SEN_2238	SEN	2018
SEN_2239	SEN	2018
SEN_2240	SEN	2018
SEN_2241	SEN	2018
SEN_2242	SEN	2018
SEN_2243	SEN	2018
SEN_2244	SEN	2018
SEN_2245	SEN	2018
SEN_2246	SEN	2018
SEN_2247	SEN	2018
SEN_2248	SEN	2018
SEN_2251	SEN	2018
SEN_2252	SEN	2018
SEN_2253	SEN	2018
SEN_2254	SEN	2018
SEN_2255	SEN	2018
SEN_2256	SEN	2018
SEN_2265	SEN	2019
TXL_0003	TX	2015
TXL_0009	TX	2015
TXL_0010	TX	2015
TXL_0012	TX	2015
TXL_0014	TX	2015
TXL_0016	TX	2015
TXL_0018	TX	2015
TXL_0019	TX	2015
TXL_0023	TX	2015
TXL_0029	TX	2015
TXL_0030	TX	2015
TXL_0033	TX	2015
TXL_0037	TX	2015
TXL_0039	TX	2015
TXL_0040	TX	2015
TXL_0041	TX	2015
TXL_0042	TX	2010
TXL_0047	TX	2010
TXL_0052	TX	2010
TXL_0055	TX	2010
TXL_0058	TX	2010
TXL_0080	TX	2010
TXL_0082	TX	2010
TXL_0083	TX	2010
TXL_0084	TX	2010
TXL_0085	TX	2010
TXL_0088	TX	2010
TXL_0091	TX	2010
TX_0059	TX	2013
TX_0060	TX	2013
TX_0062	TX	2013
TX_0063	TX	2013
TX_0066	TX	2013
TX_0067	TX	2013
TX_0068	TX	2013
TX_0071	TX	2013
TX_0072	TX	2013
TX_0073	TX	2013
TX_0074	TX	2013
TX_0075	TX	2013
VZ_1739	VZ	2017
VZ_1741	VZ	2017
VZ_1742	VZ	2017
VZ_1744	VZ	2017
VZ_1745	VZ	2017
VZ_1746	VZ	2017
VZ_1747	VZ	2017
VZ_1749	VZ	2017
VZ_1751	VZ	2017
VZ_1752	VZ	2017
VZ_1753	VZ	2017
VZ_1754	VZ	2017
VZ_1755	VZ	2017
VZ_1756	VZ	2017
VZ_1758	VZ	2017
VZ_1759	VZ	2017
VZ_1760	VZ	2017
VZ_1761	VZ	2017
VZ_1762	VZ	2017
VZ_1763	VZ	2017
VZ_1764	VZ	2017
VZ_1765	VZ	2017
VZ_1766	VZ	2017
VZ_1767	VZ	2017
VZ_1768	VZ	2017
VZ_1769	VZ	2017
VZ_1770	VZ	2017
VZ_1772	VZ	2017
VZ_1773	VZ	2017
VZ_1774	VZ	2017
VZ_1775	VZ	2017
VZ_1776	VZ	2017
VZ_1777	VZ	2017
VZ_1778	VZ	2017
VZ_1779	VZ	2017
VZ_1780	VZ	2017
VZ_1781	VZ	2017
VZ_1783	VZ	2017
VZ_1784	VZ	2017
VZ_1786	VZ	2017
VZ_1788	VZ	2017
VZ_1789	VZ	2017
VZ_2579	VZ	2017
VZ_2580	VZ	2017
VZ_2581	VZ	2017
VZ_2582	VZ	2017
VZ_2583	VZ	2017
VZ_2584	VZ	2017
VZ_2585	VZ	2017
VZ_2586	VZ	2017
VZ_2587	VZ	2017
VZ_2589	VZ	2019
VZ_2591	VZ	2019
VZ_2592	VZ	2019
VZ_2593	VZ	2019
VZ_2594	VZ	2019
VZ_2595	VZ	2019
VZ_2596	VZ	2019
VZ_2597	VZ	2019
VZ_2598	VZ	2019
VZ_2599	VZ	2019
VZ_2600	VZ	2019
VZ_2601	VZ	2019
VZ_2602	VZ	2019
VZ_2603	VZ	2019
VZ_2604	VZ	2019
VZ_2605	VZ	2019
VZ_2607	VZ	2019
VZ_2608	VZ	2019
VZ_2609	VZ	2019
VZ_2610	VZ	2019
VZ_2611	VZ	2019
VZ_2612	VZ	2019
VZ_2613	VZ	2019
VZ_2614	VZ	2019
VZ_2615	VZ	2019
VZ_2616	VZ	2019
VZ_2617	VZ	2019
VZ_2618	VZ	2019
VZ_2619	VZ	2019
VZ_2620	VZ	2019
VZ_2622	VZ	2019
VZ_2623	VZ	2019
