ID1 ID2 kin k0 k2 nsnp relationship
1 sim100_fs_off1 sim100_fs_off2 0.220349053245983 0.340975147781455 0.299860808176204 5225 fullsib
10808 sim101_fs_off1 sim101_fs_off2 0.24372781155582 0.2377854114368 0.27021406103865 5143 fullsib
21603 sim102_fs_off1 sim102_fs_off2 0.275622889065362 0.238018375050365 0.380211444704266 5078 fullsib
32386 sim103_fs_off1 sim103_fs_off2 0.247852691951465 0.238403880690683 0.287246317377568 5243 fullsib
43157 sim104_fs_off1 sim104_fs_off2 0.215753768134073 0.339824349687011 0.198508362122693 5026 fullsib
53916 sim105_fs_off1 sim105_fs_off2 0.263179934107618 0.135631199242608 0.259348462451066 4917 fullsib
64663 sim106_fs_off1 sim106_fs_off2 0.223918044457235 0.186763101621624 0.254000751671696 5108 fullsib
75398 sim107_fs_off1 sim107_fs_off2 0.244981908277236 0.28934691458793 0.249569444767944 5128 fullsib
86121 sim108_fs_off1 sim108_fs_off2 0.254905632785713 0.272412765559025 0.294093596203179 5220 fullsib
96832 sim109_fs_off1 sim109_fs_off2 0.277586716008463 0.203499827744992 0.258787777424558 5131 fullsib
107551 sim10_fs_off1 sim10_fs_off2 0.275321672261501 0.221077352545225 0.277109086916297 5079 fullsib
119418 sim110_fs_off1 sim110_fs_off2 0.244892950343664 0.187545912288284 0.144074574691464 5269 fullsib
130105 sim111_fs_off1 sim111_fs_off2 0.248113195009063 0.204150902827755 0.296705499450897 5145 fullsib
140780 sim112_fs_off1 sim112_fs_off2 0.23094590019459 0.220753438563441 0.20839838362734 5055 fullsib
151443 sim113_fs_off1 sim113_fs_off2 0.238780042579009 0.288724612756424 0.291615155965246 5119 fullsib
162094 sim114_fs_off1 sim114_fs_off2 0.24355598332328 0.203965222114981 0.254811383278202 5176 fullsib
172733 sim115_fs_off1 sim115_fs_off2 0.256687994724309 0.269567751684131 0.263928530110272 4863 fullsib
183360 sim116_fs_off1 sim116_fs_off2 0.244707747804352 0.27265473359116 0.210277828448291 5269 fullsib
193975 sim117_fs_off1 sim117_fs_off2 0.273420674933918 0.237167321279668 0.421697756247068 5023 fullsib
204578 sim118_fs_off1 sim118_fs_off2 0.26074289684 0.203857189855821 0.2314166736938 5106 fullsib
215169 sim119_fs_off1 sim119_fs_off2 0.260523664700574 0.153034412270076 0.344782844162794 5055 fullsib
225788 sim11_fs_off1 sim11_fs_off2 0.261414777885074 0.287656530715687 0.306854814344317 4964 fullsib
237623 sim120_fs_off1 sim120_fs_off2 0.248836715600781 0.186913668653107 0.231586681189595 5171 fullsib
248190 sim121_fs_off1 sim121_fs_off2 0.260405767702244 0.13592942217987 0.178986797055951 4959 fullsib
258745 sim122_fs_off1 sim122_fs_off2 0.260404557856435 0.119091137675664 0.300466039114233 5192 fullsib
269288 sim123_fs_off1 sim123_fs_off2 0.256690645126842 0.136436419009619 0.248123824132747 5238 fullsib
279819 sim124_fs_off1 sim124_fs_off2 0.236901763481534 0.255359132622342 0.270094443510662 5097 fullsib
290338 sim125_fs_off1 sim125_fs_off2 0.267495590245918 0.135928544785086 0.310996917229424 5025 fullsib
300845 sim126_fs_off1 sim126_fs_off2 0.260846947004284 0.220720586108918 0.372999437439279 5185 fullsib
311340 sim127_fs_off1 sim127_fs_off2 0.251002626688677 0.255434147607407 0.28794342795952 5104 fullsib
321823 sim128_fs_off1 sim128_fs_off2 0.265354269977705 0.204437529502179 0.337134585693967 5151 fullsib
332294 sim129_fs_off1 sim129_fs_off2 0.254814353193523 0.236652274341394 0.0999652053252341 4949 fullsib
342813 sim12_fs_off1 sim12_fs_off2 0.276954921527516 0.391044401605379 0.326287276687065 5186 fullsib
354616 sim130_fs_off1 sim130_fs_off2 0.245788902781861 0.306622724521503 0.265300741997379 5230 fullsib
365063 sim131_fs_off1 sim131_fs_off2 0.296400502821765 0.169027144824222 0.354950726322109 4775 fullsib
375498 sim132_fs_off1 sim132_fs_off2 0.262523847488357 0.135923966127455 0.265927482705764 5092 fullsib
385921 sim133_fs_off1 sim133_fs_off2 0.259406095751421 0.319875612283752 0.325073771424573 4890 fullsib
396332 sim134_fs_off1 sim134_fs_off2 0.266921660124768 0.254091571418331 0.344356006216981 4934 fullsib
406731 sim135_fs_off1 sim135_fs_off2 0.248802875345446 0.16876548444487 0.217194635825898 4856 fullsib
417118 sim136_fs_off1 sim136_fs_off2 0.267301923927721 0.254705507938536 0.32203917831634 5104 fullsib
427493 sim137_fs_off1 sim137_fs_off2 0.195016904884404 0.323986451878542 0.19389738955579 5238 fullsib
437856 sim138_fs_off1 sim138_fs_off2 0.242367832807873 0.204556425953579 0.270896372761299 5236 fullsib
448207 sim139_fs_off1 sim139_fs_off2 0.256483949275313 0.287213358904136 0.24861075438798 4977 fullsib
458626 sim13_fs_off1 sim13_fs_off2 0.247417403981134 0.404781044482096 0.394017329542597 4949 fullsib
470397 sim140_fs_off1 sim140_fs_off2 0.236733240425447 0.289206817398601 0.303727186337131 5109 fullsib
480724 sim141_fs_off1 sim141_fs_off2 0.269313861250515 0.357100559735225 0.221719671120717 5127 fullsib
491039 sim142_fs_off1 sim142_fs_off2 0.226859143829812 0.221609007103851 0.246892047965507 5279 fullsib
501342 sim143_fs_off1 sim143_fs_off2 0.271500225401923 0.255466718933149 0.358722916452886 5176 fullsib
511633 sim144_fs_off1 sim144_fs_off2 0.243670307084101 0.27195034092848 0.23822790226617 5152 fullsib
521912 sim145_fs_off1 sim145_fs_off2 0.26306252226791 0.303441848970323 0.277544689902324 4857 fullsib
532179 sim146_fs_off1 sim146_fs_off2 0.242706666458787 0.254846828949167 0.227156820124384 5158 fullsib
542434 sim147_fs_off1 sim147_fs_off2 0.237695232584941 0.238100373294567 0.163244039199037 5127 fullsib
552677 sim148_fs_off1 sim148_fs_off2 0.21039981371632 0.373714785494415 0.181621993658142 5058 fullsib
562908 sim149_fs_off1 sim149_fs_off2 0.252110467129356 0.237900935802154 0.20255487656216 5188 fullsib
573227 sim14_fs_off1 sim14_fs_off2 0.251585573201542 0.187231283896377 0.246115985747493 5165 fullsib
584966 sim150_fs_off1 sim150_fs_off2 0.230475015189355 0.306828268611689 0.226888555955309 5229 fullsib
595173 sim151_fs_off1 sim151_fs_off2 0.248716848055107 0.28946620352207 0.230153146643991 5280 fullsib
605368 sim152_fs_off1 sim152_fs_off2 0.258557515836054 0.238403165070084 0.276310045767332 5264 fullsib
615551 sim153_fs_off1 sim153_fs_off2 0.255769499668727 0.20385811281942 0.182065087474109 5161 fullsib
625722 sim154_fs_off1 sim154_fs_off2 0.243830663673952 0.135561571256693 0.191046109934783 5057 fullsib
635881 sim155_fs_off1 sim155_fs_off2 0.234997711967396 0.254153405406494 0.180075946659381 5089 fullsib
646028 sim156_fs_off1 sim156_fs_off2 0.264627775327403 0.255332725930268 0.382196618995439 5122 fullsib
656163 sim157_fs_off1 sim157_fs_off2 0.230874465011258 0.25535990396235 0.226643199153759 5145 fullsib
666286 sim158_fs_off1 sim158_fs_off2 0.2605163013638 0.204612634982341 0.276129499497096 5271 fullsib
676397 sim159_fs_off1 sim159_fs_off2 0.282525121170615 0.221393796814834 0.328328446766123 5194 fullsib
686616 sim15_fs_off1 sim15_fs_off2 0.241477436024509 0.253996893307432 0.295888063650192 5030 fullsib
698323 sim160_fs_off1 sim160_fs_off2 0.235165125994805 0.254315474303954 0.305894147729663 5065 fullsib
708410 sim161_fs_off1 sim161_fs_off2 0.283229795215041 0.185581673679538 0.312057871870909 4908 fullsib
718485 sim162_fs_off1 sim162_fs_off2 0.242223072670605 0.357869767715117 0.209642102656511 5288 fullsib
728548 sim163_fs_off1 sim163_fs_off2 0.233388822128319 0.255729697478806 0.133485297352984 5349 fullsib
738599 sim164_fs_off1 sim164_fs_off2 0.26101151167779 0.237177619491164 0.348892062551839 5002 fullsib
748638 sim165_fs_off1 sim165_fs_off2 0.248171253355412 0.237849243303469 0.272787532801038 5151 fullsib
758665 sim166_fs_off1 sim166_fs_off2 0.25099386302768 0.238436550854645 0.269591119626337 5132 fullsib
768680 sim167_fs_off1 sim167_fs_off2 0.253874239303379 0.288082103038517 0.260964383093919 5118 fullsib
778683 sim168_fs_off1 sim168_fs_off2 0.260686669178037 0.355065950042485 0.340220039543984 4981 fullsib
788674 sim169_fs_off1 sim169_fs_off2 0.258402121516217 0.135860842179125 0.264539084731201 4968 fullsib
798793 sim16_fs_off1 sim16_fs_off2 0.256347839086657 0.186035308574485 0.300957487083145 4968 fullsib
810468 sim170_fs_off1 sim170_fs_off2 0.236403163000898 0.270159036593398 0.207900063699061 5008 fullsib
820435 sim171_fs_off1 sim171_fs_off2 0.24947321275463 0.287043687796226 0.200834304383857 4771 fullsib
830390 sim172_fs_off1 sim172_fs_off2 0.270253924865071 0.2553807196039 0.345233910170012 5294 fullsib
840333 sim173_fs_off1 sim173_fs_off2 0.259625142400562 0.20405702445042 0.269864032401428 5019 fullsib
850264 sim174_fs_off1 sim174_fs_off2 0.244946775634024 0.271342568232518 0.220723042542709 4963 fullsib
860183 sim175_fs_off1 sim175_fs_off2 0.245983021225914 0.236597740071646 0.232587673396352 4924 fullsib
870090 sim176_fs_off1 sim176_fs_off2 0.263514152092855 0.237653284563652 0.300569161541006 5143 fullsib
879985 sim177_fs_off1 sim177_fs_off2 0.266424799068051 0.169201091289519 0.202813732486187 5031 fullsib
889868 sim178_fs_off1 sim178_fs_off2 0.282168932144022 0.238689300834445 0.458361683843688 5249 fullsib
899739 sim179_fs_off1 sim179_fs_off2 0.243491712143174 0.321184869056166 0.255901571464417 4779 fullsib
909758 sim17_fs_off1 sim17_fs_off2 0.256227652864736 0.323869655879893 0.357671161149329 5311 fullsib
921401 sim180_fs_off1 sim180_fs_off2 0.245627765573871 0.203592336096204 0.269939841914326 5117 fullsib
931248 sim181_fs_off1 sim181_fs_off2 0.268517166022771 0.135228333316485 0.303111630390592 4884 fullsib
941083 sim182_fs_off1 sim182_fs_off2 0.290609795844774 0.425492175103475 0.403437449883174 5108 fullsib
950906 sim183_fs_off1 sim183_fs_off2 0.253815159465138 0.221614426102943 0.227324529395542 5228 fullsib
960717 sim184_fs_off1 sim184_fs_off2 0.250177736188579 0.254655566570579 0.237044820979566 5127 fullsib
970516 sim185_fs_off1 sim185_fs_off2 0.222886486751634 0.319619802211763 0.183014506386239 4731 fullsib
980303 sim186_fs_off1 sim186_fs_off2 0.256761247236944 0.304940674305931 0.326753204649015 4908 fullsib
990078 sim187_fs_off1 sim187_fs_off2 0.256232903810395 0.253652717274036 0.238466694491503 4897 fullsib
999841 sim188_fs_off1 sim188_fs_off2 0.236233709720268 0.30660567620888 0.251896466593502 5261 fullsib
1009592 sim189_fs_off1 sim189_fs_off2 0.221007605296602 0.220844137238366 0.144528337258682 5156 fullsib
1019511 sim18_fs_off1 sim18_fs_off2 0.241461277437302 0.237827218023509 0.217561776556401 5246 fullsib
1031122 sim190_fs_off1 sim190_fs_off2 0.264665888637226 0.203930740402579 0.261792553973501 5089 fullsib
1040849 sim191_fs_off1 sim191_fs_off2 0.25471055474924 0.187234138886613 0.233776829361889 5176 fullsib
1050564 sim192_fs_off1 sim192_fs_off2 0.258391881774697 0.135648611686035 0.274719119032065 5042 fullsib
1060267 sim193_fs_off1 sim193_fs_off2 0.260602865405928 0.187327980408489 0.223412482400673 5237 fullsib
1069958 sim194_fs_off1 sim194_fs_off2 0.245407340190298 0.287799337627267 0.173810444539618 4987 fullsib
1079637 sim195_fs_off1 sim195_fs_off2 0.237300523525042 0.357287621947981 0.232095937803782 5262 fullsib
1089304 sim196_fs_off1 sim196_fs_off2 0.257051453231679 0.187576857577444 0.24865771739015 5211 fullsib
1098959 sim197_fs_off1 sim197_fs_off2 0.251569790459974 0.287754248002306 0.266036683530566 4940 fullsib
1108602 sim198_fs_off1 sim198_fs_off2 0.245146361604896 0.136206268853944 0.223993494175771 5231 fullsib
1118233 sim199_fs_off1 sim199_fs_off2 0.239643456497187 0.425415079684023 0.334946289062779 5217 fullsib
1128052 sim19_fs_off1 sim19_fs_off2 0.23580568567381 0.304300925904416 0.283899903122905 4946 fullsib
1139851 sim1_fs_off1 sim1_fs_off2 0.231932521443288 0.255231250212438 0.144347658645306 5069 fullsib
1151626 sim200_fs_off1 sim200_fs_off2 0.256330805220085 0.254455024608207 0.318749947247568 5065 fullsib
1161233 sim201_fs_off1 sim201_fs_off2 0.255310215318924 0.30672278787633 0.182170119918249 5322 fullsib
1170828 sim202_fs_off1 sim202_fs_off2 0.24240366285868 0.356521106810352 0.184910130838629 4917 fullsib
1180411 sim203_fs_off1 sim203_fs_off2 0.263999886270023 0.186725037955547 0.298622871053171 5076 fullsib
1189982 sim204_fs_off1 sim204_fs_off2 0.225359525340748 0.254169183013811 0.22918456084145 5088 fullsib
1199541 sim205_fs_off1 sim205_fs_off2 0.240606815260381 0.221116098607711 0.27183667331114 5251 fullsib
1209088 sim206_fs_off1 sim206_fs_off2 0.2292284807484 0.28963983056312 0.103954224795572 5173 fullsib
1218623 sim207_fs_off1 sim207_fs_off2 0.247816039670298 0.170235553437231 0.176951635305993 5170 fullsib
1228146 sim208_fs_off1 sim208_fs_off2 0.262772792528727 0.25534985216085 0.29970545492614 5324 fullsib
1237657 sim209_fs_off1 sim209_fs_off2 0.258293432444498 0.23746518852105 0.328403976630187 5103 fullsib
1247376 sim20_fs_off1 sim20_fs_off2 0.268882785576953 0.221204958646368 0.401793438023306 5113 fullsib
1258923 sim210_fs_off1 sim210_fs_off2 0.246770370466735 0.18679268582216 0.218853913180263 5036 fullsib
1268410 sim211_fs_off1 sim211_fs_off2 0.254185645545717 0.306332237315334 0.251721424228995 5084 fullsib
1277885 sim212_fs_off1 sim212_fs_off2 0.241733672454081 0.25420408965293 0.211197467292084 4976 fullsib
1287348 sim213_fs_off1 sim213_fs_off2 0.240116022410371 0.289023054174973 0.168684690210902 5225 fullsib
1296799 sim214_fs_off1 sim214_fs_off2 0.272027823120018 0.373207155149517 0.297478717865387 5030 fullsib
1306238 sim215_fs_off1 sim215_fs_off2 0.258280441684636 0.187091906250781 0.24400582090563 5059 fullsib
1315665 sim216_fs_off1 sim216_fs_off2 0.253632315053273 0.286618279755045 0.315689549818594 4869 fullsib
1325080 sim217_fs_off1 sim217_fs_off2 0.230481935210132 0.255814062878304 0.191390686400847 5233 fullsib
1334483 sim218_fs_off1 sim218_fs_off2 0.233395612019646 0.322815924697533 0.210951631890535 5168 fullsib
1343874 sim219_fs_off1 sim219_fs_off2 0.240258783560324 0.271322492854173 0.256278234377368 5106 fullsib
1353493 sim21_fs_off1 sim21_fs_off2 0.250790160039452 0.322850579378874 0.216159533376785 5067 fullsib
1365008 sim220_fs_off1 sim220_fs_off2 0.251453585989685 0.390133815406695 0.329903890787021 5090 fullsib
1374375 sim221_fs_off1 sim221_fs_off2 0.239920837060841 0.187314105599888 0.220705951585843 5111 fullsib
1383730 sim222_fs_off1 sim222_fs_off2 0.240570478814573 0.252036221557035 0.321055695232368 4805 fullsib
1393073 sim223_fs_off1 sim223_fs_off2 0.271650105227102 0.334063747639301 0.365898346214533 4612 fullsib
1402404 sim224_fs_off1 sim224_fs_off2 0.251112282195064 0.22113610960123 0.1957633735527 5101 fullsib
1411723 sim225_fs_off1 sim225_fs_off2 0.249154617087634 0.254481478979604 0.209083523663697 5058 fullsib
1421030 sim226_fs_off1 sim226_fs_off2 0.240059642864437 0.253127496745812 0.275267444046406 4935 fullsib
1430325 sim227_fs_off1 sim227_fs_off2 0.268895992370207 0.253860517036134 0.168805491404523 4939 fullsib
1439608 sim228_fs_off1 sim228_fs_off2 0.240057383483523 0.340426650009537 0.282925081578829 5141 fullsib
1448879 sim229_fs_off1 sim229_fs_off2 0.250205539402126 0.25477755812305 0.354822978562986 5143 fullsib
1458398 sim22_fs_off1 sim22_fs_off2 0.246729960209689 0.304184595735487 0.235437757962995 4898 fullsib
1469881 sim230_fs_off1 sim230_fs_off2 0.257176012009306 0.288377229423659 0.218572361770152 5146 fullsib
1479128 sim231_fs_off1 sim231_fs_off2 0.258466651730892 0.170427973159879 0.238412928299746 5288 fullsib
1488363 sim232_fs_off1 sim232_fs_off2 0.249321046724156 0.249041211846393 0.248301060835442 4601 fullsib
1497586 sim233_fs_off1 sim233_fs_off2 0.251498889566294 0.152654412894644 0.319085020104704 5045 fullsib
1506797 sim234_fs_off1 sim234_fs_off2 0.263439764407453 0.27248049208476 0.34039991541582 5170 fullsib
1515996 sim235_fs_off1 sim235_fs_off2 0.231005956033338 0.32262415222977 0.164086010819427 5120 fullsib
1525183 sim236_fs_off1 sim236_fs_off2 0.248678089933617 0.271668496635494 0.185319838150326 5078 fullsib
1534358 sim237_fs_off1 sim237_fs_off2 0.239919562531674 0.187470756328555 0.280920477124239 5212 fullsib
1543521 sim238_fs_off1 sim238_fs_off2 0.220660647986451 0.238164679710766 0.339062960886356 5152 fullsib
1552672 sim239_fs_off1 sim239_fs_off2 0.251791594635612 0.168189561784984 0.29173419328334 4815 fullsib
1562091 sim23_fs_off1 sim23_fs_off2 0.221598883857441 0.370669183934123 0.243517527673119 4893 fullsib
1573542 sim240_fs_off1 sim240_fs_off2 0.244511008839451 0.306161678735033 0.300307054253531 5185 fullsib
1582669 sim241_fs_off1 sim241_fs_off2 0.2491893072733 0.170562898620084 0.268220286479286 5330 fullsib
