beta  ances 
0.210 0.225
0.207 0.222
0.208 0.223
0.209 0.224
0.209 0.224
0.209 0.224
0.210 0.222
0.210 0.221
0.209 0.221
0.210 0.220
0.211 0.220
0.211 0.221
0.211 0.221
0.212 0.221
0.211 0.221
0.212 0.221
0.212 0.221
0.212 0.221
0.212 0.221
0.212 0.221
0.212 0.221
0.212 0.221
0.212 0.221
0.212 0.221
0.212 0.221
0.212 0.221
0.212 0.220
0.211 0.220
0.211 0.220
0.212 0.221
0.212 0.220
0.212 0.221
0.212 0.220
0.212 0.220
0.212 0.220
0.212 0.221
0.212 0.221
0.212 0.221
0.212 0.221
0.211 0.221
0.211 0.221
0.211 0.221
0.211 0.221
0.211 0.220
0.211 0.221
0.211 0.220
0.210 0.220
0.210 0.220
0.210 0.220
