LocusName,He,FST,T1,T2,FSTNoCorr,T1NoCorr,T2NoCorr,meanAlleleFreq,indexOrder,GoodH,qvalues,pvalues,pvaluesRightTail,OutlierFlag
snp_1.003,0.0886435948587156,-0.00157303145149721,-6.98091399233836e-05,0.0443787311798116,0.00784493435833135,0.000348176336238612,0.0443823135204245,0.0464824120603015,2,lowH,0.931902543160627,0.721383052180755,0.639308473909622,FALSE
snp_2.001,0.0315836000609664,0.131628454649995,0.00213154085571043,0.0161936175683159,0.141765048985904,0.0022959443274393,0.0161954187147186,0.983950617283951,4,lowH,3.11472485626134e-08,2.58039967171442e-09,1.29019983585721e-09,TRUE
snp_3.001,0.0824910820451843,-0.00707145177733351,-0.000291672596403597,0.0412464944381732,0.000615996123629138,2.54098467662424e-05,0.041250010822374,0.956896551724138,6,lowH,0.938668997674107,0.00814766354879552,0.995926168225602,FALSE
snp_4.001,0.290035915910042,-0.000328036411915961,-4.76246683578469e-05,0.145181042798528,0.00683338052198052,0.000992153171993245,0.145192144474005,0.824009324009324,8,goodH,0.931902543160627,0.601006447257905,0.699496776371047,FALSE
snp_5.003,0.060956525991491,0.00826696242525646,0.000252610051280245,0.0305565742634191,0.0150065318187751,0.000458581205534762,0.0305587734109901,0.968531468531469,10,lowH,0.921075125178842,0.596209452335597,0.298104726167798,FALSE
snp_6.004,0.0479709755442086,0.0147996352169989,0.000356289810776934,0.0240742292328731,0.0215246901871043,0.000518220946762056,0.0240756518331924,0.975409836065574,12,lowH,0.71273278195712,0.265325748118884,0.132662874059442,FALSE
snp_7.003,0.337309065661575,0.00232637879375013,0.000392988164968434,0.168926989028702,0.00963933862444155,0.00162844713699298,0.168937641931562,0.214788732394366,14,goodH,0.931902543160627,0.924376357491815,0.537811821254093,FALSE
snp_8.001,0.137628027074743,-0.000419069116215178,-2.88688078829821e-05,0.0688879394017643,0.00653947729709834,0.000450526152735594,0.0688932971654323,0.925659472422062,16,goodH,0.931902543160627,0.565629871320611,0.717185064339694,FALSE
snp_9.002,0.0671261551909552,-0.00259069123021848,-8.70130913423389e-05,0.0335868243684913,0.00446543948608127,0.00014999175975303,0.0335894731572452,0.965227817745803,18,lowH,0.931902543160627,0.319546996494196,0.840226501752902,FALSE
snp_10.003,0.0673876406241256,0.00883013452867637,0.000298336614950295,0.0337861913633852,0.0160056893752328,0.00054081295636497,0.0337887949519891,0.965087281795511,20,lowH,0.897968182615869,0.529441611077282,0.264720805538641,FALSE
snp_11.004,0.0200480692196765,0.0314666880746516,0.000317908273492296,0.0101030102926018,0.0444832340803231,0.00044951231328691,0.0101052075592172,0.989873417721519,22,lowH,0.0481411947825354,0.0106181117003918,0.00530905585019592,FALSE
snp_12.001,0.0234159160845442,0.00156154635599435,1.83088921808816e-05,0.0117248470470305,0.00863563467098392,0.000101257844554513,0.0117255822429292,0.988151658767773,24,lowH,0.931902543160627,0.812888525487399,0.593555737256301,FALSE
snp_13.002,0.057355152043548,0.198424453208203,0.00590590871335265,0.0297640165708593,0.209597378899992,0.00623912850017975,0.0297672066937283,0.970449172576832,26,lowH,1.83340566386458e-12,4.2410519540681e-14,2.12052597703405e-14,TRUE
snp_14.003,0.0680968858131488,0.0239547353628426,0.000819934177501773,0.0342284798843411,0.0305142200700601,0.00104451850855327,0.0342305491064518,0.964705882352941,28,lowH,0.302267618210322,0.0789455085337714,0.0394727542668857,FALSE
snp_15.004,0.057355152043548,0.175283524462496,0.00519590416752729,0.0296428553879234,0.186227374994961,0.00552094993210452,0.0296462855273232,0.970449172576832,30,lowH,3.81633986312792e-11,1.9195756095769e-12,9.59787804788448e-13,TRUE
